
2022/02/06 (06:52:56) | ===> btop++ v.1.2.0
2022/02/06 (06:52:56) | ERROR: Invalid RGB decimal value: "2"

2025/02/27 (16:44:47) | ===> btop++ v.1.4.0
2025/02/27 (16:44:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/27 (16:45:22) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (16:45:28) | ===> btop++ v.1.4.0
2025/02/27 (16:45:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/27 (16:45:43) | WARNING: Failed to join _runner thread on exit!

2025/03/01 (10:12:13) | ===> btop++ v.1.4.0
2025/03/01 (10:12:13) | WARNING: Intel GPU: Failed to initialize PMU
